HIP_number,Name
97118,97118
97165,fawaris
97278,tarazed
97290,97290
97365,97365
97433,tyl
97649,altair
97679,97679
97804,97804
97886,97886
97938,libertas
98032,98032
98036,alshain
98055,98055
98066,terebellum
98068,98068
98073,98073
98110,98110
98162,98162
98337,98337
98353,98353
98412,98412
98495,98495
98543,98543
98608,98608
98688,98688
98702,98702
98761,98761
98842,98842
99120,99120
99240,99240
99255,99255
99303,99303
99473,99473
99639,99639
99655,99655
99675,99675
99742,99742
99770,99770
99824,99824
99848,99848
99874,99874
100027,prima giedi
100044,100044
100064,giedi
100310,alshat
100345,dabih
100453,sadr
100587,100587
100751,peacock
101027,101027
101076,101076
101093,101093
101101,101101
101138,101138
101421,aldulfin
101474,101474
101589,101589
101612,101612
101692,101692
101769,rotanev
101772,101772
101773,101773
101847,101847
101867,101867
101958,sualocin
102098,deneb
102281,102281
102333,102333
102388,102388
102395,102395
102422,102422
102431,102431
102453,102453
102485,102485
102488,aljanah
102532,102532
102571,102571
102589,102589
102618,albali
102624,102624
102724,102724
102790,102790
102831,102831
102978,102978
103004,103004
103045,103045
103089,103089
103227,103227
103413,103413
103632,103632
103738,103738
104019,104019
104060,104060
104139,104139
104194,104194
104234,104234
104459,104459
104521,104521
104732,104732
104858,104858
104887,104887
104987,kitalpha
105102,105102
105138,105138
105140,105140
105199,alderamin
105319,105319
105382,105382
105502,105502
105515,105515
105858,105858
105881,105881
106032,alfirk
106039,106039
106140,106140
106278,sadalsuud
106481,106481
106551,106551
106723,106723
106786,bunda
106801,106801
106985,nashira
107089,nu oct b
107119,107119
107136,azelfafage
107188,107188
107259,herschel's garnet star
107310,107310
107315,enif
107348,107348
107354,107354
107380,107380
107418,107418
107533,107533
107556,deneb algedi
108085,aldhanab
108431,108431
108870,eps indi a b
108874,108874
108917,kurhah
109068,109068
109074,sadalmelik
109111,109111
109139,109139
109176,109176
109268,alnair
109285,109285
109289,109289
109400,109400
109410,109410
109422,109422
109427,biham
109492,109492
109754,109754
109857,109857
109908,109908
109937,109937
110003,ancha
110130,110130
110351,110351
110371,110371
110386,110386
110395,sadachbia
110538,110538
110609,110609
110672,110672
110838,110838
110882,110882
110960,110960
110991,110991
110997,110997
111022,111022
111043,111043
111104,111104
111123,111123
111169,111169
111188,111188
111310,111310
111497,111497
111674,111674
111841,111841
111944,111944
111954,111954
112029,homam
112051,112051
112122,tiaki
112158,matar
112203,112203
112211,112211
112374,112374
112405,112405
112440,112440
112447,112447
112519,112519
112623,112623
112716,112716
112724,112724
112748,sadalbari
112917,112917
112948,112948
112961,112961
113116,113116
113136,skat
113186,113186
113246,113246
